series,date,index,index_sa
abs,2015-01-01,101.029,101.011
abs,2015-02-01,90.812,98.808
growth_mom,2015-02-01,-10.113,-2.181
abs,2015-03-01,101.66,98.567
growth_mom,2015-03-01,11.946,-0.243
abs,2015-04-01,97.041,98.377
growth_mom,2015-04-01,-4.544,-0.193
abs,2015-05-01,100.677,100.157
growth_mom,2015-05-01,3.747,1.809
abs,2015-06-01,100.905,99.91
growth_mom,2015-06-01,0.226,-0.247
abs,2015-07-01,100.42,100.112
growth_mom,2015-07-01,-0.48,0.202
abs,2015-08-01,98.206,99.464
growth_mom,2015-08-01,-2.206,-0.647
abs,2015-09-01,101.531,101.319
growth_mom,2015-09-01,3.387,1.865
abs,2015-10-01,104.589,100.764
growth_mom,2015-10-01,3.012,-0.548
abs,2015-11-01,99.544,99.827
growth_mom,2015-11-01,-4.824,-0.93
abs,2015-12-01,103.587,99.592
growth_mom,2015-12-01,4.062,-0.235
abs,2016-01-01,104.303,102.1
growth_mom,2016-01-01,0.691,2.518
growth_yoy,2016-01-01,3.24,1.078
abs,2016-02-01,94.629,102.7
growth_mom,2016-02-01,-9.275,0.588
growth_yoy,2016-02-01,4.204,3.939
abs,2016-03-01,104.343,102.8
growth_mom,2016-03-01,10.265,0.097
growth_yoy,2016-03-01,2.639,4.294
abs,2016-04-01,99.762,103.1
growth_mom,2016-04-01,-4.39,0.292
growth_yoy,2016-04-01,2.804,4.801
abs,2016-05-01,103.588,103.4
growth_mom,2016-05-01,3.835,0.291
growth_yoy,2016-05-01,2.891,3.238
abs,2016-06-01,106.333,105.6
growth_mom,2016-06-01,2.65,2.128
growth_yoy,2016-06-01,5.379,5.695
abs,2016-07-01,104.235,103.6
growth_mom,2016-07-01,-1.973,-1.894
growth_yoy,2016-07-01,3.798,3.484
abs,2016-08-01,103.132,103.5
growth_mom,2016-08-01,-1.058,-0.097
growth_yoy,2016-08-01,5.016,4.058
abs,2016-09-01,104.638,105.0
growth_mom,2016-09-01,1.46,1.449
growth_yoy,2016-09-01,3.06,3.633
abs,2016-10-01,109.175,105.2
growth_mom,2016-10-01,4.336,0.19
growth_yoy,2016-10-01,4.385,4.402
abs,2016-11-01,106.408,105.6
growth_mom,2016-11-01,-2.535,0.38
growth_yoy,2016-11-01,6.896,5.783
abs,2016-12-01,108.95,106.7
growth_mom,2016-12-01,2.388,1.042
growth_yoy,2016-12-01,5.177,7.137
abs,2017-01-01,108.212,105.678
growth_mom,2017-01-01,-0.677,-0.958
growth_yoy,2017-01-01,3.748,3.504
abs,2017-02-01,99.487,107.995
growth_mom,2017-02-01,-8.062,2.193
growth_yoy,2017-02-01,5.134,5.156
abs,2017-03-01,109.084,107.512
growth_mom,2017-03-01,9.646,-0.447
growth_yoy,2017-03-01,4.544,4.584
abs,2017-04-01,103.819,106.72
growth_mom,2017-04-01,-4.827,-0.737
growth_yoy,2017-04-01,4.067,3.511
abs,2017-05-01,107.854,107.537
growth_mom,2017-05-01,3.886,0.766
growth_yoy,2017-05-01,4.118,4.001
abs,2017-06-01,109.514,109.008
growth_mom,2017-06-01,1.54,1.368
growth_yoy,2017-06-01,2.992,3.227
abs,2017-07-01,110.29,109.808
growth_mom,2017-07-01,0.708,0.734
growth_yoy,2017-07-01,5.809,5.992
abs,2017-08-01,110.216,110.788
growth_mom,2017-08-01,-0.067,0.892
growth_yoy,2017-08-01,6.869,7.042
abs,2017-09-01,109.496,109.983
growth_mom,2017-09-01,-0.653,-0.727
growth_yoy,2017-09-01,4.643,4.746
abs,2017-10-01,112.825,109.167
growth_mom,2017-10-01,3.04,-0.742
growth_yoy,2017-10-01,3.343,3.771
abs,2017-11-01,111.842,110.804
growth_mom,2017-11-01,-0.871,1.5
growth_yoy,2017-11-01,5.106,4.928
abs,2017-12-01,112.03,109.852
growth_mom,2017-12-01,0.169,-0.859
growth_yoy,2017-12-01,2.828,2.954
abs,2018-01-01,113.447,109.866
growth_mom,2018-01-01,1.264,0.013
growth_yoy,2018-01-01,4.838,3.963
abs,2018-02-01,101.82,110.83
growth_mom,2018-02-01,-10.249,0.877
growth_yoy,2018-02-01,2.344,2.625
abs,2018-03-01,112.27,111.09
growth_mom,2018-03-01,10.264,0.235
growth_yoy,2018-03-01,2.921,3.328
abs,2018-04-01,108.986,113.036
growth_mom,2018-04-01,-2.925,1.752
growth_yoy,2018-04-01,4.977,5.918
abs,2018-05-01,111.631,112.183
growth_mom,2018-05-01,2.426,-0.755
growth_yoy,2018-05-01,3.502,4.32
abs,2018-06-01,111.803,112.025
growth_mom,2018-06-01,0.154,-0.141
growth_yoy,2018-06-01,2.09,2.768
abs,2018-07-01,113.269,113.033
growth_mom,2018-07-01,1.312,0.9
growth_yoy,2018-07-01,2.702,2.937
abs,2018-08-01,112.342,112.136
growth_mom,2018-08-01,-0.818,-0.794
growth_yoy,2018-08-01,1.93,1.217
abs,2018-09-01,112.364,112.151
growth_mom,2018-09-01,0.019,0.013
growth_yoy,2018-09-01,2.619,1.971
abs,2018-10-01,117.756,113.634
growth_mom,2018-10-01,4.799,1.322
growth_yoy,2018-10-01,4.371,4.092
abs,2018-11-01,114.258,112.486
growth_mom,2018-11-01,-2.971,-1.01
growth_yoy,2018-11-01,2.16,1.518
abs,2018-12-01,115.97,112.405
growth_mom,2018-12-01,1.499,-0.072
growth_yoy,2018-12-01,3.517,2.324
abs,2019-01-01,117.74,113.451
growth_mom,2019-01-01,1.526,0.931
growth_yoy,2019-01-01,3.785,3.263
abs,2019-02-01,104.275,112.911
growth_mom,2019-02-01,-11.436,-0.476
growth_yoy,2019-02-01,2.412,1.878
abs,2019-03-01,116.006,114.499
growth_mom,2019-03-01,11.249,1.406
growth_yoy,2019-03-01,3.327,3.069
abs,2019-04-01,112.671,116.883
growth_mom,2019-04-01,-2.874,2.082
growth_yoy,2019-04-01,3.381,3.403
abs,2019-05-01,116.224,117.789
growth_mom,2019-05-01,3.153,0.775
growth_yoy,2019-05-01,4.115,4.997
abs,2019-06-01,115.317,116.009
growth_mom,2019-06-01,-0.78,-1.511
growth_yoy,2019-06-01,3.144,3.556
abs,2019-07-01,114.771,115.648
growth_mom,2019-07-01,-0.474,-0.311
growth_yoy,2019-07-01,1.325,2.313
abs,2019-08-01,114.887,114.464
growth_mom,2019-08-01,0.102,-1.024
growth_yoy,2019-08-01,2.265,2.076
abs,2019-09-01,114.27,113.614
growth_mom,2019-09-01,-0.537,-0.743
growth_yoy,2019-09-01,1.696,1.304
abs,2019-10-01,118.046,113.803
growth_mom,2019-10-01,3.305,0.166
